"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.ID","Gene.Name","log10p","color"
2730.4183836623,-2.16231886394837,0.237097967396679,-9.11993842752216,7.5167022848535e-20,5.77019650896779e-16,"ENSMUSG00000001225","Slc26a3",19.1239726505795,"Down"
173.66486399818,-1.93011652138563,0.313134561704766,-6.16385655699487,7.09942594332688e-10,1.21108318342108e-06,"ENSMUSG00000017868","Sgk2",9.14877676673511,"Down"
1881.6883981499,1.24018104793765,0.202418889976961,6.12680490481301,8.96612995970114e-10,1.37656993271292e-06,"ENSMUSG00000020250","Txnrd1",9.04739497053692,"Up"
300.013802282576,-1.77725236350918,0.286917950848267,-6.19428780337644,5.85491592092172e-10,1.12363155167389e-06,"ENSMUSG00000024727","Trpm6",9.23247933719997,"Down"
2333.03125009853,-1.3665721790517,0.186497276779534,-7.32757176217205,2.34360184093831e-13,1.19937730213086e-09,"ENSMUSG00000030762","Aqp8",12.6301161695188,"Down"
544.318354723076,-1.65187599674121,0.232801332542032,-7.09564665590119,1.28748041513411e-12,4.94167170338848e-09,"ENSMUSG00000030849","Fgfr2",11.8902593686276,"Down"
453.218414092752,-1.51537940107512,0.232271737669824,-6.52416611800289,6.83808903386742e-11,1.49978829909952e-07,"ENSMUSG00000032548","Slco2a1",10.1650652488647,"Down"
804.693060932281,-1.99476348646973,0.194071345848811,-10.2785059677163,8.80823736869906e-25,1.35232868321637e-20,"ENSMUSG00000039364","Sectm1b",24.055110990298,"Down"
208.319858035574,-1.87412509037806,0.277919896809923,-6.74340020952089,1.54722256045051e-11,4.75090159411933e-08,"ENSMUSG00000050982","Apol10a",10.8104472106552,"Down"
979.360600296644,-2.30161916249167,0.350615657929214,-6.56450763233267,5.22050705231066e-11,1.33584074623543e-07,"ENSMUSG00000073608","Gal3st2c",10.2822873132188,"Down"
